Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/orders?user_id=3152,1,1,24928.735600002256,24928.735600002256,24928.735600002256,24928.735600002256,21.0,0.00654915718479559,0.00654915718479559,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
PUT,/orders?user_id=3161&order_date=2022-04-11+19%3A39%3A10,1,0,10690.573400002904,10690.573400002904,10690.573400002904,10690.573400002904,4.0,0.00654915718479559,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
PUT,/orders?user_id=3161&order_date=2022-04-11+19%3A39%3A28,1,0,8786.57259999818,8786.57259999818,8786.57259999818,8786.57259999818,4.0,0.00654915718479559,0.0,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
PUT,/orders?user_id=3161&order_date=2022-04-11+19%3A39%3A51,1,0,14630.440000000817,14630.440000000817,14630.440000000817,14630.440000000817,4.0,0.00654915718479559,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
PUT,/orders?user_id=3161&order_date=2022-04-11+19%3A40%3A14,1,1,38005.10650000069,38005.10650000069,38005.10650000069,38005.10650000069,21.0,0.00654915718479559,0.00654915718479559,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
PUT,/orders?user_id=3166&order_date=2022-04-11+19%3A41%3A05,1,1,19028.09989999878,19028.09989999878,19028.09989999878,19028.09989999878,21.0,0.00654915718479559,0.00654915718479559,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
PUT,/orders?user_id=3184&order_date=2022-04-11+19%3A39%3A58,1,0,15608.01039999933,15608.01039999933,15608.01039999933,15608.01039999933,4.0,0.00654915718479559,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
PUT,/orders?user_id=320&order_date=2022-04-11+19%3A39%3A57,1,0,14906.28199999992,14906.28199999992,14906.28199999992,14906.28199999992,4.0,0.00654915718479559,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
PUT,/orders?user_id=3205&order_date=2022-04-11+19%3A39%3A57,1,0,20259.613700000045,20259.613700000045,20259.613700000045,20259.613700000045,4.0,0.00654915718479559,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
PUT,/orders?user_id=3205&order_date=2022-04-11+19%3A40%3A29,1,0,33751.102599999285,33751.102599999285,33751.102599999285,33751.102599999285,4.0,0.00654915718479559,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
PUT,/orders?user_id=3223&order_date=2022-04-11+19%3A41%3A06,1,0,16578.37440000003,16578.37440000003,16578.37440000003,16578.37440000003,4.0,0.00654915718479559,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
